,Plot,Yr,LAT,LON,ELEV,Common.Name,biomass.Mg.ha.dead,biomass.Mg.ha.live,standingdead_C_Mg_ha,livetree_C_Mg_ha,carbonratio,BGtree_C_Mg_ha,foresttype,standingdead_C_gm2,livetree_C_gm2,BGtree_C_gm2,total_treeC_gm2,NPP_C_gm2y,Year_start_NPP,Year_end_NPP
220,1030,2010,55.617252,-132.613626,300,mountain hemlock,NA,9.081529872,NA,4.540764936,0.478,2.170485639,lodgepole-pine,NA,454.0764936,217.0485639,671.1250576,18.74221383,1997,2010
221,1031,1997,55.660225,-133.128133,1300,Alaska yellow-cedar,2.000425388,736.2835365,1.000212694,368.1417682,0.478,175.9717652,alaska-yellow-cedar,100.0212694,36814.17682,17597.17652,54411.35335,NA,NA,NA
222,1031,1997,55.660225,-133.128133,1300,Sitka spruce,14.78341701,181.1202,7.391708504,90.5601,0.5,45.28005,alaska-yellow-cedar,739.1708504,9056.01,4528.005,13584.015,NA,NA,NA
223,1031,1997,55.660225,-133.128133,1300,western hemlock,76.90000581,111.1358388,38.4500029,55.56791942,0.507,28.17293515,alaska-yellow-cedar,3845.00029,5556.791942,2817.293515,8374.085457,NA,NA,NA
224,1031,1997,55.660225,-133.128133,1300,mountain hemlock,NA,22.93501816,NA,11.46750908,0.478,5.481469341,alaska-yellow-cedar,NA,1146.750908,548.1469341,1694.897842,NA,NA,NA
225,1031,1997,55.660225,-133.128133,1300,red alder,NA,0,NA,0,0.483,0,alaska-yellow-cedar,NA,0,0,0,NA,NA,NA
226,1031,2004,55.660225,-133.128133,1300,Alaska yellow-cedar,2.167668061,739.1303994,1.083834031,369.5651997,0.478,176.6521654,alaska-yellow-cedar,108.3834031,36956.51997,17665.21654,54621.73651,30.05473814,1997,2004
227,1031,2004,55.660225,-133.128133,1300,Sitka spruce,14.49912053,182.0693614,7.249560263,91.03468069,0.5,45.51734035,alaska-yellow-cedar,724.9560263,9103.468069,4551.734035,13655.2021,10.16958626,1997,2004
228,1031,2004,55.660225,-133.128133,1300,western hemlock,69.59391693,103.3144491,34.79695846,51.65722457,0.507,26.19021285,alaska-yellow-cedar,3479.695846,5165.722457,2619.021285,7784.743742,-84.1916736,1997,2004
229,1031,2004,55.660225,-133.128133,1300,mountain hemlock,NA,26.86265174,NA,13.43132587,0.478,6.420173765,alaska-yellow-cedar,NA,1343.132587,642.0173765,1985.149963,41.46458875,1997,2004
230,1031,2015,55.660225,-133.128133,1300,Alaska yellow-cedar,244.9654803,2671.455109,122.4827402,1335.727555,0.478,638.4777712,alaska-yellow-cedar,12248.27402,133572.7555,63847.77712,197420.5326,12981.70873,2004,2015
231,1031,2015,55.660225,-133.128133,1300,western hemlock,328.4407276,93.10560936,164.2203638,46.55280468,0.507,23.60227197,alaska-yellow-cedar,16422.03638,4655.280468,2360.227197,7015.507665,-69.93055244,2004,2015
232,1031,2015,55.660225,-133.128133,1300,mountain hemlock,NA,16.31319947,NA,8.156599736,0.478,3.898854674,alaska-yellow-cedar,NA,815.6599736,389.8854674,1205.545441,-70.8731384,2004,2015
233,1031,2015,55.660225,-133.128133,1300,Sitka spruce,5.700693924,201.8134528,2.850346962,100.9067264,0.5,50.45336319,sitka-spruce,285.0346962,10090.67264,5045.336319,15136.00896,NA,NA,NA
234,1031,2015,55.660225,-133.128133,1300,western hemlock,6.693441804,89.93512807,3.346720902,44.96756403,0.507,22.79855496,sitka-spruce,334.6720902,4496.756403,2279.855496,6776.6119,NA,NA,NA
235,1031,2015,55.660225,-133.128133,1300,Alaska yellow-cedar,NA,72.72574579,NA,36.36287289,0.478,17.38145324,sitka-spruce,NA,3636.287289,1738.145324,5374.432614,NA,NA,NA
236,1031,2015,55.660225,-133.128133,1300,mountain hemlock,NA,30.06647789,NA,15.03323894,0.478,7.185888215,sitka-spruce,NA,1503.323894,718.5888215,2221.912716,NA,NA,NA
237,1037,1996,57.087944,-135.678618,1300,Sitka spruce,NA,47.97997884,NA,23.98998942,0.5,11.99499471,sitka-spruce,NA,2398.998942,1199.499471,3598.498413,NA,NA,NA
238,1037,1996,57.087944,-135.678618,1300,western hemlock,NA,1.303913008,NA,0.651956504,0.507,0.3305419475,sitka-spruce,NA,65.1956504,33.05419475,98.24984516,NA,NA,NA
239,1037,1996,57.087944,-135.678618,1300,mountain hemlock,NA,10.15586359,NA,5.077931794,0.478,2.427251398,sitka-spruce,NA,507.7931794,242.7251398,750.5183192,NA,NA,NA
240,1060,1998,54.883451,-132.17367,500,Alaska yellow-cedar,206.928079,163.7293196,103.4640395,81.86465981,0.478,39.13130739,western-redcedar,10346.40395,8186.465981,3913.130739,12099.59672,NA,NA,NA
241,1060,1998,54.883451,-132.17367,500,western redcedar,2.643736097,176.1186789,1.321868048,88.05933943,0.504,44.38190707,western-redcedar,132.1868048,8805.933943,4438.190707,13244.12465,NA,NA,NA
242,1060,1998,54.883451,-132.17367,500,lodgepole pine,NA,97.76878845,NA,48.88439423,0.503,24.5888503,western-redcedar,NA,4888.439423,2458.88503,7347.324452,NA,NA,NA
243,1060,1998,54.883451,-132.17367,500,western hemlock,NA,15.60323522,NA,7.801617608,0.507,3.955420127,western-redcedar,NA,780.1617608,395.5420127,1175.703773,NA,NA,NA
244,1060,2011,54.883451,-132.17367,500,Alaska yellow-cedar,3.210406903,30.21865993,1.605203452,15.10932996,0.478,7.222259722,alaska-yellow-cedar,160.5203452,1510.932996,722.2259722,2233.158969,NA,NA,NA
245,1060,2011,54.883451,-132.17367,500,lodgepole pine,21.63469881,42.49104684,10.8173494,21.24552342,0.503,10.68649828,alaska-yellow-cedar,1081.73494,2124.552342,1068.649828,3193.20217,NA,NA,NA
