,dataset_name_sub,site_name,profile_name,elevation..m.,tree_Plot,tree_ELEV,geometry_profile,ISCN.1.1..2015.12.10.,dataset_name_soc,lat..dec..deg.,long..dec..deg.,datum..datum.,state..state_province.,country..country.,observation_date..YYYY.MM.DD.,layer_name,layer_top..cm.,layer_bot..cm.,hzn_desgn_other,hzn,hzn_desgn,layer_note,color,vegclass_local,soil_taxon,soil_series,bd_method,bd_samp..g.cm.3.,bd_tot..g.cm.3.,bd_whole..g.cm.3.,bd_other..g.cm.3.,bdNRCS_prep_code,cNRCS_prep_code,c_method,c_tot..percent.,oc..percent.,loi..percent.,n_tot..percent.,c_to_n..mass.ratio.,soc..g.cm.2.,soc_carbon_flag,soc_method,ph_method,ph_cacl,ph_h2o,ph_other,caco3..percent.,sand_tot_psa..percent.,silt_tot_psa..percent.,clay_tot_psa..percent.,wpg2_method,wpg2..percent.,cat_exch..cmol.H..kg.1.,al_dith..specified.by.al_fe_units.,al_ox..specified.by.al_fe_units.,al_other..specified.by.al_fe_units.,fe_dith..specified.by.al_fe_units.,fe_ox..specified.by.al_fe_units.,fe_other..specified.by.al_fe_units.,mn_dith..specified.by.al_fe_units.,mn_ox..specified.by.al_fe_units.,mn_other..specified.by.al_fe_units.,al_fe_units..extract_units.,al_fe_method,ca_al..specified.by.bc_units.,ca_ext..specified.by.bc_units.,k_ext..specified.by.bc_units.,mg_ext..specified.by.bc_units.,na_ext..specified.by.bc_units.,bc_units..extract_units.,bc_method,base_sum..specified.by.cec_h_units.,cec_sum..specified.by.cec_h_units.,ecec..specified.by.cec_h_units.,cec_h_units..extract_units.,bs..percent.,bs_sum..percent.,h_ext..specified.by.metal_ext_units.,zn_ext..specified.by.metal_ext_units.,metal_ext_units..extract_units.,metal_ext_method,p_bray..specified.by.p_units.,p_ox..specified.by.p_units.,p_meh..specified.by.p_units.,p_other..specified.by.p_units.,p_units..extract_units.,p_method,root_quant_size,root_weight..g.,X15n....,X13c....,X14c....,X14c_sigma....,X14c_age..BP.,X14c_age_sigma..BP.,fraction_modern,fraction_modern_sigma,textureClass,locator_parent_alias,DOS.hzn,foresttype,
11,Worldwide soil carbon and nitrogen data,67-AK-51-2,85111,137,20458,152.4,c(822090.540796144,6350379.3939276),NA,ISCN No SOC stock computation,57.1833,-135.6667,NAD27,Alaska,United States,1975,85111.11,190,230,NA,?,unknown,NA,NA,COOL CONIFER FOREST,PLACHUMOD,(A7-13),predicted from %C,NA,NA,NA,1.25,NA,NA,dry combustion,0.83,NA,NA,0,NA,NA,no_soc [no bd],no fill,NA,NA,NA,6.5,NA,NA,NA,NA,measured,0,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-hemlock
12,Worldwide soil carbon and nitrogen data,62-AK-0-1,64022,99,27569,91.44,c(1024884.16965825,6170665.12673899),NA,ISCN SOC stock computation,55.4,-132.7,NAD27,Alaska,United States,NA,64022.1,0,2,NA,?,unknown,NA,NA,COOL CONIFER FOREST,FRAGIORTHOD,KARTA,measured as weight per unit volume,1.12,NA,NA,NA,NA,NA,dry combustion,4.19,NA,NA,0.1,NA,0.093856,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.4,NA,34,53,13,measured,12,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alaska-yellow-cedar
13,Worldwide soil carbon and nitrogen data,62-AK-0-1,64022,99,27569,91.44,c(1024884.16965825,6170665.12673899),NA,ISCN SOC stock computation,55.4,-132.7,NAD27,Alaska,United States,NA,64022.2,2,6,NA,?,unknown,NA,NA,COOL CONIFER FOREST,FRAGIORTHOD,KARTA,measured as weight per unit volume,0.69,NA,NA,NA,NA,NA,dry combustion,4.44,NA,NA,0.3,NA,0.122544,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.4,NA,30,52,18,measured,30,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alaska-yellow-cedar
14,Worldwide soil carbon and nitrogen data,62-AK-0-1,64022,99,27569,91.44,c(1024884.16965825,6170665.12673899),NA,ISCN SOC stock computation,55.4,-132.7,NAD27,Alaska,United States,NA,64022.3,6,15,NA,?,unknown,NA,NA,COOL CONIFER FOREST,FRAGIORTHOD,KARTA,measured as weight per unit volume,0.6,NA,NA,NA,NA,NA,dry combustion,4.3,NA,NA,0.1,NA,0.2322,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.2,NA,42,40,18,measured,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alaska-yellow-cedar
15,Worldwide soil carbon and nitrogen data,62-AK-0-1,64022,99,27569,91.44,c(1024884.16965825,6170665.12673899),NA,ISCN SOC stock computation,55.4,-132.7,NAD27,Alaska,United States,NA,64022.4,15,33,NA,?,unknown,NA,NA,COOL CONIFER FOREST,FRAGIORTHOD,KARTA,measured as weight per unit volume,0.53,NA,NA,NA,NA,NA,dry combustion,6.1,NA,NA,0.2,NA,0.58194,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.5,NA,38,44,18,measured,60,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alaska-yellow-cedar
16,Worldwide soil carbon and nitrogen data,62-AK-0-1,64022,99,27569,91.44,c(1024884.16965825,6170665.12673899),NA,ISCN SOC stock computation,55.4,-132.7,NAD27,Alaska,United States,NA,64022.5,33,43,NA,?,unknown,NA,NA,COOL CONIFER FOREST,FRAGIORTHOD,KARTA,measured as weight per unit volume,0.94,NA,NA,NA,NA,NA,dry combustion,6.54,NA,NA,0.2,NA,0.61476,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.8,NA,45,40,15,measured,70,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alaska-yellow-cedar
17,Worldwide soil carbon and nitrogen data,62-AK-0-1,64022,99,27569,91.44,c(1024884.16965825,6170665.12673899),NA,ISCN SOC stock computation,55.4,-132.7,NAD27,Alaska,United States,NA,64022.6,43,61,NA,?,unknown,NA,NA,COOL CONIFER FOREST,FRAGIORTHOD,KARTA,measured as weight per unit volume,0.97,NA,NA,NA,NA,NA,dry combustion,1.94,NA,NA,0.1,NA,0.338724,soc [c_tot*bd_samp],no fill,NA,NA,NA,5.1,NA,52,33,15,measured,80,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alaska-yellow-cedar
18,Worldwide soil carbon and nitrogen data,62-AK-0-1,64022,99,27569,91.44,c(1024884.16965825,6170665.12673899),NA,ISCN SOC stock computation,55.4,-132.7,NAD27,Alaska,United States,NA,64022.7,61,104,NA,?,unknown,NA,NA,COOL CONIFER FOREST,FRAGIORTHOD,KARTA,measured as weight per unit volume,1.96,NA,NA,NA,NA,NA,dry combustion,0.24,NA,NA,0,NA,0.202272,soc [c_tot*bd_samp],no fill,NA,NA,NA,5.3,NA,40,38,22,measured,90,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alaska-yellow-cedar
19,Worldwide soil carbon and nitrogen data,62-AK-0-1,64022,99,53473,91.44,c(1024884.16965825,6170665.12673899),NA,ISCN SOC stock computation,55.4,-132.7,NAD27,Alaska,United States,NA,64022.1,0,2,NA,?,unknown,NA,NA,COOL CONIFER FOREST,FRAGIORTHOD,KARTA,measured as weight per unit volume,1.12,NA,NA,NA,NA,NA,dry combustion,4.19,NA,NA,0.1,NA,0.093856,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.4,NA,34,53,13,measured,12,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-redcedar
20,Worldwide soil carbon and nitrogen data,62-AK-0-1,64022,99,53473,91.44,c(1024884.16965825,6170665.12673899),NA,ISCN SOC stock computation,55.4,-132.7,NAD27,Alaska,United States,NA,64022.2,2,6,NA,?,unknown,NA,NA,COOL CONIFER FOREST,FRAGIORTHOD,KARTA,measured as weight per unit volume,0.69,NA,NA,NA,NA,NA,dry combustion,4.44,NA,NA,0.3,NA,0.122544,soc [c_tot*bd_samp],no fill,NA,NA,NA,4.4,NA,30,52,18,measured,30,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,western-redcedar
