,Plot,Yr,dwdC.tacre,dwdC.gm2,dwdC.Mgha,AGunderstoryC.tacre,BGunderstoryC.tacre,AGunderstoryC.gm2,BGunderstoryC.gm2,AGunderstoryC.Mgha,BGunderstoryC.Mgha,litterC.tacre,litterC.gm2,litterC.Mgha,foresttype
3027,53203,1998,4.525571,1014.497251,10.14497251,1.319564,0.146618,295.8066619,32.86735706,2.958066619,0.3286735706,9.340005,2093.748921,20.93748921,western-hemlock
3028,53203,2005,5.077277,1138.173185,11.38173185,1.215459,0.135051,272.469444,30.27438267,2.72469444,0.3027438267,11.889103,2665.18022,26.6518022,western-hemlock
3029,53203,2016,8.362415,1874.602571,18.74602571,1.051953,0.116884,235.816304,26.20188628,2.35816304,0.2620188628,13.257622,2971.961124,29.71961124,western-hemlock
3030,53205,1996,7.861761,1762.370963,17.62370963,1.041123,0.11568,233.3885429,25.9319856,2.333885429,0.259319856,26.777743,6002.766648,60.02766648,western-hemlock
3031,53205,2004,15.525457,3480.341696,34.80341696,0.897844,0.09976,201.2696895,22.3631992,2.012696895,0.223631992,9.844442,2206.828563,22.06828563,western-hemlock
3032,53205,2015,14.537177,3258.798968,32.58798968,0.910872,0.101208,204.1901762,22.68779736,2.041901762,0.2268779736,10.001817,2242.107317,22.42107317,western-hemlock
3033,53258,2015,8.522138,1910.407675,19.10407675,0.984498,0.109389,220.6949167,24.52173213,2.206949167,0.2452173213,7.646338,1714.079589,17.14079589,cottonwood
3034,53262,1996,0.1588165,35.60189481,0.3560189481,1.566658253,0.174072862,351.1977805,39.02191347,3.511977805,0.3902191347,10.20030651,2286.602711,22.86602711,NA
3035,53262,2013,2.108205,472.5963149,4.725963149,1.884135,0.209348,422.366543,46.92954116,4.22366543,0.4692954116,9.558017,2142.620671,21.42620671,NA
3036,53344,2003,5.68652,1274.747188,12.74747188,1.146294,0.127366,256.964726,28.55163622,2.56964726,0.2855163622,13.285613,2978.235866,29.78235866,sitka-spruce
3037,53344,2010,10.383071,2327.573026,23.27573026,0.991148,0.110128,222.1856472,24.68739376,2.221856472,0.2468739376,10.926865,2449.475327,24.49475327,sitka-spruce
3038,53374,1996,7.034678,1576.963767,15.76963767,1.067198,0.118578,239.2337757,26.58163026,2.392337757,0.2658163026,23.199991,5200.741982,52.00741982,western-redcedar
3039,53374,2012,11.412264,2558.287221,25.58287221,0.960178,0.106686,215.2431023,23.91580062,2.152431023,0.2391580062,11.926252,2673.507911,26.73507911,western-redcedar
3040,53393,1996,0.399512502,89.55871757,0.8955871757,0.594038358,0.066004074,133.1655787,14.79613327,1.331655787,0.1479613327,8.596892529,1927.165398,19.27165398,mountain-hemlock
